Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
Plantedit,Startup working on editing the genome of plants to produce mammalian protein and human drugs,Plant-based,Ingredients and inputs,Ingredient optimization,,,,Europe,Ireland,,Cork,http://plantedit.com/,,"Chidananda Nagamangala, Ok-jae Koo",PlantedIt.png (https://dl.airtable.com/.attachments/c4fba755fffafeed879d47836bc92748/2c8dae59/PlantedIt.png)
Improved Nature,Low cost plant-based meat that is sold as a B2C finished product or as a B2B dry ingredient for further processing,Plant-based,"Meat,Ingredients and inputs",End product formulation and manufacturing,Ground meat,Chicken,Soy,U.S. and Canada,United States,NC,Garner,https://www.improvednature.com/,2015,Rody Hawkins,logo_improvedNature_R.png (https://dl.airtable.com/.attachments/00cb49e4e1c63b295e57b40056ba4595/d469918e/logo_improvedNature_R.png)
Meatless BV,"Produces blended products composed of real meat blended with meatless fibers. Meatless is a 100% vegetable fat free fibre, made from lupine, wheat or rice.",Plant-based,Ingredients and inputs,Ingredient optimization,,"Fish,Beef/veal","Rice,Fava bean,Quinoa",Europe,Netherlands,N/A,Goes,http://www.meatless.nl/en/,2006,"Created out of a meat processing company, the original meat company has been sold in favor of pursuing plant-based alternatives",Screen Shot 2021-01-04 at 12_03_20 PM.png (https://dl.airtable.com/.attachments/775931f36ed55037ab02cadf317c3304/64ee91e7/ScreenShot2021-01-04at12_03_20PM.png)
VBites,"Maker of a variety of plant-based meats, dairy, and seafood",Plant-based,"Dairy,Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,"Ground meat,Cheese",Fish,"Soy,Coconut,Wheat",Europe,United Kingdom,Nottinghamshire,Corby,https://www.vbites.com/,1993,Heather Mills,Capture.JPG (https://dl.airtable.com/.attachments/238170bac19fca9303150ebd1fa841f7/5dbabd34/Capture.JPG)
Hinoman,"Maker of ""Mankai,"" an hydroponic whole protein vegetable",Plant-based,Ingredients and inputs,Ingredient optimization,"Ground meat,Other",,Mankai,"Africa/Middle East,U.S. and Canada",Israel,,Tel Aviv,http://www.hinoman.com/,2019,Ron Salpeter,cropped-logo.jpg (https://dl.airtable.com/.attachments/a9dcb8c1ef9a058df39b770b2ee5caf6/75a43ef0/cropped-logo.jpg)
Novozymes ,Company providing fermentation services to extract protein from and enhance flavor in vegetables and more (part of a larger business),Fermentation-derived,Ingredients and inputs,,,,,Europe,Denmark,,Bagsværd,https://www.novozymes.com/en#,2000,,Capture.JPG (https://dl.airtable.com/.attachments/59c18a071e26523f14fd4a06a3640a29/7b20fbe4/Capture.JPG)
Air Protein,U.S.-based startup focusing on using a closed loop carbon cycle to create food grade protein,Biomass fermentation,"Ingredients and inputs,Meat","Ingredient optimization,End product formulation and manufacturing","Ground meat,Other meat",Chicken,Soy,U.S. and Canada,United States,CA,Pleasanton,https://www.airprotein.com/,2019,"Lisa Dyson, Dr. John Reed",AirProtein_logoTeal_Trademark.png (https://dl.airtable.com/.attachments/28427a3de2fb27829a3c38f418050a29/db825b6b/AirProtein_logoTeal_Trademark.png)
ORF Genetics,Producer of plant-made recombinant growth factors for cultivated meat production (part of a larger business),"Cultivated,Fermentation-derived,Plant molecular farming",Ingredients and inputs,Ingredient optimization,,,Barley,Europe,Iceland,Kópavogur,,https://orfgenetics.com/pages/founders-story,2001,"Björn Lárus Örvar, Ph.D.",ixwbkmfl97oudp1uz1po.png (https://dl.airtable.com/.attachments/a272dd9afb430e49275830a40221f828/990479b0/ixwbkmfl97oudp1uz1po.png)
Evolva,Produces natural ingredients using genetically modified baker's yeast (no current animal products) (part of a larger business) Also  provide tailored services to clients across industries.,Fermentation-derived,Ingredients and inputs,Ingredient optimization,Other,,,"Europe,U.S. and Canada",Switzerland,,,https://www.evolva.com/,2004,Oliver P. Walker,1588664142936.jpg (https://dl.airtable.com/.attachments/55806ad69ca73f4e4e83c0a1ef028387/20cc2962/1588664142936.jpg)
Nature BioScience,Produces a variety of dairy enzymes from microbial and non-microbial sources (part of a larger business),Fermentation-derived,Ingredients and inputs,Ingredient optimization,"Other dairy,Cheese,Milk",,,Asia Pacific,India ,,,http://www.naturebioscience.com/dairy-enzymes.php,2014,,logo (1).png (https://dl.airtable.com/.attachments/abc98f67d29b190acea45ab1ae8c1e9c/f3ec5f42/logo1.png)
Provenance Bio,Develops synbio tools for use in creating animal proteins,Precision fermentation,Ingredients and inputs,,,,,U.S. and Canada,United States,CA,San Francisco,http://www.provenance.bio,2016,Christian Ewton,provenance-logo.svg (https://dl.airtable.com/.attachments/75eba7be3c4293e8a5427dafaac35bbf/306e9085/provenance-logo.svg)
Geltor,"Bio-design company that makes proteins used in beauty, food, & beverage products like collagen and elastin, but without animals.",Precision fermentation,"Ingredients and inputs,Contract manufacturing/processing","Ingredient optimization,End product formulation and manufacturing",,,,U.S. and Canada,United States,CA,San Francisco,http://geltor.com/,2015,"Alexander Lorestani, Nick Ouzounov",logoBlueNew.svg (https://dl.airtable.com/.attachments/bd13105684693dba94daf6964ceb0aa0/e270fb26/logoBlueNew.svg)
Enough,Startup working on a zero waste mycoprotein production process for sustainable protein. Formerly known as 3F Bio. ,Biomass fermentation,"Ingredients and inputs,Contract manufacturing/processing,Food processing infrastructure and equipment","Bioprocess design,Ingredient optimization","Pet food,Ground meat,Other meat",,Feedstocks,Europe,United Kingdom,Scotland,Glasgow,https://www.enough-food.com/,2015,"Craig Johnson, David Ritchie, Jim Laird",Enough logo.png (https://dl.airtable.com/.attachments/ca4171eb27c2e41fc477479a0c1eeb4b/8c6cd65d/Enoughlogo.png)
Fermentalg,"Engaged in the production of micro-algae for the agrifood, healthcare and energy markets. For the alternative protein space, they produce micro-algae for plant-based foods and fish meal",Fermentation-derived,Ingredients and inputs,Ingredient optimization,Other,,Algae,Europe,France,,Libourne,https://www.fermentalg.com/solutions/alternative-proteins/,2014,Philippe Lavielle,fermentalg-logo.png (https://dl.airtable.com/.attachments/77ea941981d720b0bff742b75358ee0b/48259a1d/fermentalg-logo.png)
Afineur ,"Startup using fermentation to improve plant based food, starting with coffee and chocolate. Also developed a cultured plant based protein (part of a larger business)",Traditional fermentation,Ingredients and inputs,Host strain development,Other,,,U.S. and Canada,United States,NY,New York,https://www.afineur.com/,2014,"Camille Delebecque, Sophie Deterre",download.png (https://dl.airtable.com/.attachments/9be15949dadcc76e000d93e2c7ba13ac/c759534e/download.png)
Final Foods,"Provides open source bioreactor and courses on fermentation alt protein production. Current offerings include courses on heme, GFP, and whey protein production",Precision fermentation,"Bioprocessing infrastructure and equipment,Other",Bioprocess design,,,"Yeast,Whey",U.S. and Canada,United States,CA,Santa Clara,https://www.finalfoods.com,2020, ,Screen Shot 2021-01-22 at 1_22_12 PM.png (https://dl.airtable.com/.attachments/fdd56df2c0c801f0c566dab157e433dc/bbfbc8dc/ScreenShot2021-01-22at1_22_12PM.png)
RhYme Biotechnology,"Startup that aims to make innovative, next generation lipid-based ingredients for cosmetics, foods, lubricants, and other consumer products.We're engineering a microbial platform to turn biomass waste into high-value oils with better performances.",Fermentation-derived,Ingredients and inputs,Bioprocess design,Other,,,U.S. and Canada,Canada,BC,Vancouver,https://www.rhymebiotechnology.com,2016,"Raphael Roccor, James Round",Screen Shot 2021-02-11 at 1_49_24 PM.png (https://dl.airtable.com/.attachments/dbff6cd992cb5f2171abbdb47d1e50f0/d3f84684/ScreenShot2021-02-11at1_49_24PM.png)
CJ Bio,Large corporation using fermentation technology to produce plant-based amino acids for flavoring of plant-based meats,Fermentation-derived,Ingredients and inputs,End product formulation and manufacturing,Other,Other,,Asia Pacific,South Korea,,Seoul,https://www.cjbio.net/en/index.do,1950,Bong Soo Hah,1555398739826.jpeg (https://dl.airtable.com/.attachments/f56dd1e2c7d0a8dc8bca3ac6dc2bbc42/bfe90628/1555398739826.jpeg)
Culture Biosciences,Helps companies build fermentation processes; digital biomanufacturing platform for running bioreactors and collecting data for fermentation (part of a larger business),Fermentation-derived,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,CA,San Francisco,https://www.culturebiosciences.com/,2016,"Will Patrick, Matt Ball",fhqxi1hx37rffdwv2sv0.jpg (https://dl.airtable.com/.attachments/7bcd03c2b2bea673150038cbb675236b/ed3239f7/fhqxi1hx37rffdwv2sv0.jpg)
Osprey Biotechnics,R&D partner for fermentation solutions (part of a larger business),Fermentation-derived,"Ingredients and inputs,Bioprocessing infrastructure and equipment","Ingredient optimization,End product formulation and manufacturing",,,,U.S. and Canada,United States,FL,Sarasota,https://ospreybiotechnics.com/fermentation.php,1980,Larrick Glendening,any2pzcjv6fyc8zuwrzg.png (https://dl.airtable.com/.attachments/0205d958857c99fff2bd088571cf248c/01ff7768/any2pzcjv6fyc8zuwrzg.png)
Triton Algae Innovations,"Produces heme and other meat-like compounds from a green algae called Chlamydomonas reinhardti for plant-based meat applications. In addition to ingredients, the startup's first retail product will be a tuna analog. ",Precision fermentation,"Ingredients and inputs,Seafood","Bioprocess design,Target molecule selection,End product formulation and manufacturing",,"Tuna,Fish",Algae,U.S. and Canada,United States,CA,San Diego,https://www.tritonai.com/,2013,"Beth Rasala, Daniel Sachs, Jason Pyle, Miller Tran, Nick Hofmeister, Stephen Mayfield, William Julien",connect-sdvg-san-diego-venture-group-cool-companies-2018-fundraising-program-startup-business-triton-algae-innovations-ltd-logo.png (https://dl.airtable.com/.attachments/872e0463a4005e1f9ffb6f97a5ebbb6e/5786a719/connect-sdvg-san-diego-venture-group-cool-companies-2018-fundraising-program-startup-business-triton-algae-innovations-ltd-logo.png)
The Protein Brewery,"Producer of ""Fermotein"" fungi based protein for human consumption to replace meat",Biomass fermentation,"Meat,Ingredients and inputs",Ingredient optimization,,,Fungi,Europe,Netherlands,,Breda,https://www.theproteinbrewery.nl/,2019,Wim de Laat,download (6).jpg (https://dl.airtable.com/.attachments/2af8d3929b59857237515f110d097b25/a7988b70/download6.jpg)
NextFerm,"Startup working on fermented proteins (astaxanthin) for supplements, infant nutrition, and animal feed (part of a larger business)",Fermentation-derived,Ingredients and inputs,Host strain development,,,,Africa/Middle East,Israel,,Yoqne`am `illit,https://www.nextferm.com/,2013,"Boaz Noy, Tzafra Cohen",logo (2).png (https://dl.airtable.com/.attachments/7a625cc3997e3a5f27eec0360ceb6ef6/1573b052/logo2.png)
Manus Bio,Recreates plant processes in microbes to convert sugar into food ingredients and other outputs  (part of a larger business),Fermentation-derived,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,MA,Cambridge,http://www.manusbio.com/what-we-do.php,2011,"Gregory Stephanopoulos, Ajikumar Parayil",Capture.JPG (https://dl.airtable.com/.attachments/9d19a78a47633fc53c8cc086b768c529/0e0220b1/Capture.JPG)
Microbial Discovery Group,Creates custom microbial fermentation solutions for a variety of industries including aquaculture and plant health (part of a larger business),Fermentation-derived,"Ingredients and inputs,Contract manufacturing/processing",Host strain development,,,,U.S. and Canada,United States,WI,Franklin,http://www.mdgbio.com/,2007,,Capture.JPG (https://dl.airtable.com/.attachments/4cc887d63553d4cba3f51517bae9eb50/d47423b2/Capture.JPG)
Galactic,"Fermentation company producing food ingredients, including dairy coagulants",Fermentation-derived,Ingredients and inputs,Ingredient optimization,Other,Other,,"U.S. and Canada,Latin America,Europe,Asia Pacific",Belgium,,Escanaffles,https://www.lactic.com/en-us/applications/food.aspx,1994,,GALACTIC_25_orix.png (https://dl.airtable.com/.attachments/5e1b33b4212aec177691bc17bbe86f76/390a42f5/GALACTIC_25_orix.png)
Cysal,R&D partner for fermentation solutions; maker of amino acid base materials (part of a larger business),Fermentation-derived,Ingredients and inputs,Ingredient optimization,Ground meat,Beef/veal,,Europe,Germany,,Münster,http://www.cysal.de/,2012,"Ahmed Sallam, Martin Krehenbrink",baqlbupduuwagr20nx9d.png (https://dl.airtable.com/.attachments/54b1462b14bf014a37da80e366a4a0f5/f1352e19/baqlbupduuwagr20nx9d.png)
Microbiogen,Industrial yeast producer (from waste biomass) looking for partnerships to develop food and animal feed applications (part of a larger business),Fermentation-derived,Ingredients and inputs,Host strain development,,,,Asia Pacific,Australia,,Sydney,http://microbiogen.com.au/,2001,,New-MBG-Logo-Landscape.png (https://dl.airtable.com/.attachments/29d16ea186dbde273dbefd38a9261eca/042d67b4/New-MBG-Logo-Landscape.png)
Solar Foods,Startup working on solar-powered hydrogen electrolysis to feed microbes for protein production,Biomass fermentation,Ingredients and inputs,"End product formulation and manufacturing,Ingredient optimization",,,"CO2,Water",Europe,Finland,,Helsinki,https://solarfoods.fi/,2017,"Pasi Vainikk, Juha-Pekka Pitkanen",download.png (https://dl.airtable.com/.attachments/cb61e8483de5d1b618033ec343397593/9947953a/download.png)
The EVERY Company,Produces egg proteins using a precision fermentation platform. ,Precision fermentation,"Eggs,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization","Eggs,Other",,Yeast,U.S. and Canada,United States,CA,San Francisco,https://theeverycompany.com/,2014,"Arturo Elizondo, David Anchel",logo-horiz.png (https://dl.airtable.com/.attachments/c46af6dc78b8adc724eaf89fb29755ad/ab052347/logo-horiz.png)
Ingenza,"Platform for fermentation using various bacterial, yeast, and mammalian hosts (part of a larger business)",Fermentation-derived,Ingredients and inputs,Ingredient optimization,Other,,,Europe,United Kingdom,Scotland,Edinburgh,https://www.ingenza.com/hosts/,2002,"Ian Fotheringham, Sinil Srivastava",jcn2dwm32hck9tcrajrw.png (https://dl.airtable.com/.attachments/45cf4ffe4e2573bbf7bd8deb81deff23/9360acfe/jcn2dwm32hck9tcrajrw.png)
Nature's Fynd,"Produces edible protein from fungi, Fy as they call it, through fermentation",Biomass fermentation,Ingredients and inputs,"End product formulation and manufacturing,Ingredient optimization",Ground meat,,Fusarium strain flavolapis,U.S. and Canada,United States,IL,Chicago,https://www.naturesfynd.com/,2014,"Thomas Jonas, Matthew Strongin",download (5).jpg (https://dl.airtable.com/.attachments/4bf7975ae17da393f7226067564987ce/878d11ad/download5.jpg)
Photanol,"Uses cyanobacteria to convert CO2 into chemicals, including food ingredients (part of a larger business)",Fermentation-derived,Ingredients and inputs,,,,,Europe,Netherlands,,Amsterdam,https://www.photanol.com/,2008,Klaas Hellingwerf,Screen Shot 2021-01-26 at 3_00_16 PM.png (https://dl.airtable.com/.attachments/95853b55d4714c6623c16fcb00dee1ea/17b08413/ScreenShot2021-01-26at3_00_16PM.png)
Novacca,Produces milk proteins using fermentation platform.,Precision fermentation,"Dairy,Ingredients and inputs",Target molecule selection,,,,Europe,Denmark,,Nivå,https://www.linkedin.com/company/novacca/about/,2018,,1544426117123.png (https://dl.airtable.com/.attachments/c3cd63f4bb60c0af222190397ddcb3e4/c882e930/1544426117123.png)
Motif FoodWorks,Maker of microbially produced functional ingredients for plant-based foods,Precision fermentation,"Ingredients and inputs,Meat,Dairy",Ingredient optimization,,,,U.S. and Canada,United States,MA,Boston,https://www.motifingredients.com/,2019,,Capture.JPG (https://dl.airtable.com/.attachments/824dadde861439f388ef696bbec2eb22/bebbf9eb/Capture.JPG)
Industrial Microbes (iMicrobes),"Startup creating microbes to convert methane and other waste products into to useful chemicals, including agricultural applications (part of a larger business)",Fermentation-derived,Ingredients and inputs,,Other,,,U.S. and Canada,United States,CA,San Francisco,http://www.imicrobes.com/,2014,"Derek Greenfield, Elizabeth Clarke, Noah Helman",Logo+White+Text.png (https://dl.airtable.com/.attachments/bcb04e20ca278c5674c2b0d457b6d5b3/1ec14a6d/LogoWhiteText.png)
Perfect Day,Produces milk proteins using fermentation platform.,Precision fermentation,"Dairy,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization","Milk,Other dairy,Cheese",,"Whey,Casein",U.S. and Canada,United States,CA,San Francisco,http://www.perfectdayfoods.com/,2014,"Perumal Gandhi, Ryan Pandya",zhrfn0u37xngdosvvz6n.png (https://dl.airtable.com/.attachments/3aa5fb60ee6fc7fa0d479f83c5f192ec/87f317dd/zhrfn0u37xngdosvvz6n.png)
Phytowelt GreenTechnologies GmbH,"Biotechnology company that produces plant-ingredients in microbial hosts, additionally optimize the yield or performance of crop plants",Fermentation-derived,Ingredients and inputs,Ingredient optimization,Other,,,Europe,Germany,,Nettetal,https://www.phytowelt.com/en/,1998,Peter Welters,pgj80gkrufxu8hfinejq.jpg (https://dl.airtable.com/.attachments/d28c0a80228321c12509e62d983073a7/acc65df5/pgj80gkrufxu8hfinejq.jpg)
MycoTechnology,Producer of pea and rice proteins fermented by shiitake mycelium. ,"Traditional fermentation,Biomass fermentation","Ingredients and inputs,Meat","Feedstocks,Target molecule selection,End product formulation and manufacturing",,,,U.S. and Canada,United States,CO,Aurora,http://redesign.mycotechcorp.com/,2013,"Alan Hahn, Brooks J. Kelly, James P. Langan, Peter Lubar",MycoTechnology-Logo.png (https://dl.airtable.com/.attachments/da61e8e6ce2790fd1f8642be3a218ab8/6fa55823/MycoTechnology-Logo.png)
Pura,Mycoprotein production and fermentation to enhance plant-based foods,Biomass fermentation,Ingredients and inputs,,,,,Europe,Italy,,Inarzo,http://pura.mogu.bio/project/protal-mycoprotein/,2019,Stefano Babbini,PURA-Clean-def.png (https://dl.airtable.com/.attachments/813f0993b13832f7f1d68f5b8972d971/83a0d9f9/PURA-Clean-def.png)
Nourish Ingredients,Company using precision fermentation to produce fats that mimic the molecular structure of animal fat. ,Precision fermentation,Ingredients and inputs,"Target molecule selection,Host strain development,End product formulation and manufacturing",Oils and fats,Other,,Australia,Australia,,Canberra,https://www.nourishing.io/,2019,"Ben Leita, James Petrie",Capture.JPG (https://dl.airtable.com/.attachments/3198cab8d5b183add871f4c909ac2e17/511229cc/Capture.JPG)
Buhler,Supplier of extruders and related equipment for plant-based meat production. ,Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,"Global,Europe",Sweden,"Uzwil, Switzerland","Uzwil, Switzerland",https://www.buhlergroup.com/content/buhlergroup/global/en/homepage.html,1860,,Screen Shot 2021-01-28 at 10_34_21 AM.png (https://dl.airtable.com/.attachments/859324206d66b487564db481d060b4cb/78b0d3ff/ScreenShot2021-01-28at10_34_21AM.png)
Schaaf Technologie GmbH,"Designs and Manufactures food extruders and the associated machines for the production of extruded snacks, breakfast cereals, coextruded products and flatbreads.",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,"Global,Europe",Germany,"Bad Camberg, Germany ","Bad Camberg, Germany ",https://www.foodextrusion.de/en/home,1974,,Screen Shot 2021-01-28 at 10_39_50 AM.png (https://dl.airtable.com/.attachments/c5e934e2a039fb9897b2f6334bdf95da/ad7331e5/ScreenShot2021-01-28at10_39_50AM.png)
The Bonnot Company,Manufactures extruders and related equipment for plant-based meats and snacks. ,Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,"Global,U.S. and Canada",United States,Ohio,Akron,https://www.thebonnotco.com,1891,,Screen Shot 2021-01-14 at 2_15_48 PM.png (https://dl.airtable.com/.attachments/78ee7db47cf12f76f17fceefecaa9690/da0765e1/ScreenShot2021-01-14at2_15_48PM.png)
Wenger,Producer of extruders and dryers for plant-based foods. ,Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,"Global,U.S. and Canada",United States,Kansas,Sabetha,https://www.wenger.com,1935,,Screen Shot 2021-01-28 at 10_48_00 AM.png (https://dl.airtable.com/.attachments/cbd5bb63eedd511cb030dfad19b04e95/571596fa/ScreenShot2021-01-28at10_48_00AM.png)
Brabender,"Develops, produces and distributes a comprehensive list of manufacturer instruments and equipment.",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,"Global,Europe",Germany,"Duisburg, Germany","Duisburg, Germany",https://www.cwbrabender.com,1923,,Screen Shot 2021-01-27 at 8_10_20 PM.png (https://dl.airtable.com/.attachments/0aa84aec22c0f3e1151a8a64948c6c31/ce75781e/ScreenShot2021-01-27at8_10_20PM.png)
Coperion,"Industry leader in compounding and extrusion, feeding and weighing, and bulk material handling and service.",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,"Global,Europe",Denmark,"Stuttgart, Denmark","Stuttgart, Denmark",https://www.coperion.com/en/news-media/calendar/webinars,,,Screen Shot 2021-01-27 at 6_28_02 PM.png (https://dl.airtable.com/.attachments/fa13b61f667db3bcd4b59f22edb8d17d/f9c17d1c/ScreenShot2021-01-27at6_28_02PM.png)
Clextral,"Provides processing equipment such as extruders, dryers and ancillary equipment. ",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,"Global,Europe",France,"Firminy, France","Firminy, France",https://www.clextral.com,,,Screen Shot 2021-01-27 at 6_24_32 PM.png (https://dl.airtable.com/.attachments/7520428e2e7118b1d478bbedab4c5c7c/0700c82b/ScreenShot2021-01-27at6_24_32PM.png)
