Company,Brief Description,Year Founded,Website,Logo,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Founders
Because Animals,U.S.-based company making cultured meat for dog and cat food and supplements,2016,https://becauseanimals.com/,1560364204955.png (https://dl.airtable.com/.attachments/3bcf102f2b1729a58604cf4f86453ad3/d2847f5d/1560364204955.png),Cultivated,"Other,Meat",End product formulation and manufacturing,Pet food,,,U.S. and Canada,United States,Illinois,Chicago,Joshua Errett
Bene Meat Technologies,"Czech Republic-based company producing cultivated meat products, beginning with beef and planning to later add pork, chicken and other meats",2020,https://www.benemeat.com/,bene.jpeg (https://dl.airtable.com/.attachments/ebbba9302149f67b884e89dd0f7f97db/a043bcef/bene.jpeg),Cultivated,"Bioprocessing infrastructure and equipment,Meat",Bioprocess design,Whole muscle meat,"Beef/veal,Pork,Chicken",,Europe,Czech Republic,,Kamenice,Roman Kříž
BetterMilk,Canada-based company producing cultivated milk using mammary cells,2020,https://www.bettermilknow.com,BetterMilk.jpg (https://dl.airtable.com/.attachments/c75257a57fc7130116c420ff46fe9b9d/26fb3f11/BetterMilk.jpg),Cultivated,Dairy,"End product formulation and manufacturing,Bioprocess design",Milk,,,U.S. and Canada,Canada,,Quebec,"Jennifer Côté, Lucas House"
Biftek,Turkey-based start-up working on cultivated meat and serum free cell culture media,2018,http://biftek.co/,rpcu5xfvpzpfv5tl6oun.png (https://dl.airtable.com/.attachments/9a90f1bd9a2e2c40d42a9660167873e0/6fd34279/rpcu5xfvpzpfv5tl6oun.png),Cultivated,Meat,Cell culture media,,Beef/veal,,U.S. and Canada,Turkey,,Gölbaşı,"Can Akcali, Erdem Erikci"
BioBQ,U.S.-based start-up producing cultivated beef brisket and jerky,2018,www.biobqing.com,BioBQ logo.jpg (https://dl.airtable.com/.attachments/846349b1e207d80ba8322cea0fb756f6/2c0c0e81/BioBQlogo.jpg),Cultivated,Meat,"Cell line development,End product formulation and manufacturing",Whole muscle meat,Beef/veal,,U.S. and Canada,United States,Texas,Austin,"Katie Kam, PhD, PE, Co-Founder & CEO Janet Zoldan, PhD, Co-Founder & Chief Science Advisor"
BioFood Systems,Israel-based company that produces meat analogues using bovine embryonic stem cells cultivated in an animal free cell culture media ,2018,https://www.biofood-systems.com,biofood-systems_6e147735-d50b-11e8-aae7-1d93b3c54c6e.png (https://dl.airtable.com/.attachments/feab7abc5c130c5de6373e442c346d4d/55214a35/biofood-systems_6e147735-d50b-11e8-aae7-1d93b3c54c6e.png),Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,Beef/veal,,Africa/Middle East,Israel,,Hod Hasharon,"Arturo Geifman, Yohai Ben Zikri"
Biomilq,U.S.-based startup producing cultivated human breast milk for infants,2019,https://www.biomilq.com/,gj4qlzrcugzweabq1lwm.png (https://dl.airtable.com/.attachments/a10cab9e3d204eb14db6ef7769820d28/7946c655/gj4qlzrcugzweabq1lwm.png),Cultivated,Dairy,End product formulation and manufacturing,Milk,,,U.S. and Canada,United States,North Carolina,Durham,"Michelle Egger, Leila Strickland"
BioTech Foods,"Spain-based startup producing cultivated meat products, acquired by Brazil-based JBS in 2021",2017,https://www.biotech-foods.com/ethicameat/,dko8ln1xykb67qgiek0w.png (https://dl.airtable.com/.attachments/89d016495699a6b2ce51271c5005e2c7/554f84bc/dko8ln1xykb67qgiek0w.png),Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,Europe,Spain,,San Sebastián,Mercedes Vila Juarez
Blue Ridge Bantam ,"U.S.-based company that produces hybrid alternative poultry products, especially turkey, by integrating cultivated fat cells that mimic the taste and texture of animal fat cells into plant proteins ",2020,https://www.blueridgebantam.com,Header-logo-1.png (https://dl.airtable.com/.attachments/0430f917ca94bbbb5ac4616282c67321/37bf8e7a/Header-logo-1.png),"Cultivated,Plant-based",Meat,End product formulation and manufacturing,Ground meat,"Chicken,Other",,U.S. and Canada,United States,North Carolina,Durham,Carson Bone
Bluefin Foods Inc.,U.S.-based company producing cultivated seafood to be a viable substitute for the traditional seafood supply chain,2021,www.bluefinfoods.com,Bluefin Foods original logo.png (https://dl.airtable.com/.attachments/7f2b21f5013522436a324e8ae94d393f/5c956edd/BluefinFoodsoriginallogo.png),Cultivated,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Fish,,U.S. and Canada,United States,California,Los Angeles,"Keith David, Taissa Maleh"
BlueNalu,U.S.-based startup producing cultivated seafood products,2017,https://www.bluenalu.com/,crwil2a6rqt1m5mocbqm.jpg (https://dl.airtable.com/.attachments/4ab40971893cc40ec492cd87a038e26c/704a8672/crwil2a6rqt1m5mocbqm.jpg),Cultivated,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Fish,,U.S. and Canada,United States,California,San Diego,"Lou Cooperhouse, Chris Somogyi, Chris Dammann"
Bluu Biosciences,Germany-based company producing cultivated seafood products ,2020,https://www.bluu.bio/,Bluu Biosciences.png (https://dl.airtable.com/.attachments/f62cd69e9f41bd1360ae089cac2f829b/d6c244a0/BluuBiosciences.png),Cultivated,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Fish,,Europe,Germany,,Berlin,"Dr. Sebastian Rakers, Simon Fabich"
Bright Biotech,U.K.-based company developing a plant-based technology that uses chloroplasts as chassis to manufacture large amounts of affordable growth factors for cell-based meat,2017,https://www.brightbiotech.co.uk,brighbiotech.png (https://dl.airtable.com/.attachments/6c2d652c360241bc9e6320a0d18b2398/58858860/brighbiotech.png),"Plant-based,Cultivated,Plant molecular farming",Bioprocessing infrastructure and equipment,Bioprocess design,,,,Europe,United Kingdom,,Manchester,Mohammad Hajj
Bruno Cell,Italy-based startup producing cultivated meat products ,2019,https://www.brunocell.com/,logo-brunocell-hero.png (https://dl.airtable.com/.attachments/e3df85baca221444b15d34c2d1e1e7a0/d7f452f0/logo-brunocell-hero.png),Cultivated,Meat,Scaffolding and structure,,,,Europe,Italy,,Trento,
Cell Ag Tech,Canada-based startup working to produce sustainable seafood from stem cells instead of living animals,2018,https://cellagtech.com/,pyoiwe1v6js22kj4s6k2.png (https://dl.airtable.com/.attachments/3679eb2ace7100f7a3aba85a91f9acb5/fe11706c/pyoiwe1v6js22kj4s6k2.png),Cultivated,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Fish,,U.S. and Canada,Canada,Ontario,Toronto,"Josh Pollack, Valentin Fulga"
Cellivate Technologies,Singapore-based company developing proprietary nanotechnology that enables cells to adhere better and accelerate growth while maintaining vital cellular markers. Spin-off from the National University of Singapore. ,2019,"www.cellivate.xyz
",cellivate+tech+final+logo.jpg (https://dl.airtable.com/.attachments/e7654b65f8327f56b17ee70ad48981dc/885fa57a/cellivatetechfinallogo.jpg),Cultivated,Bioprocessing infrastructure and equipment,"Cell culture media,Scaffolding and structure",,,,Asia Pacific,Singapore,,Singapore,"Viknish Krishnan-Kutty, Tirumalai Venkatesan
"
CellMEAT,South Korea-based company producing  cultivated meat products,2019,https://www.thecellmeat.com/,CellMEATLogo.png (https://dl.airtable.com/.attachments/68de467bb0b12b6af50b166ccceb4842/e2d9e34a/CellMEATLogo.png),Cultivated,Meat,End product formulation and manufacturing,,,,Asia Pacific,South Korea,,Gwangju,Giljun Park
cellqua,South Korea-based startup producing cultivated seafood products,2021,https://www.cellqua.io,cellqua_color_logo.png (https://dl.airtable.com/.attachments/867b1f035e67891187bb6d4957fbb52c/2285292b/cellqua_color_logo.png),Cultivated,Seafood,End product formulation and manufacturing,,,,Asia Pacific,South Korea,,Sungnam-si,"Sangyoon Lee, Sangyup Lee"
CellRev,The company has developed an industry-first continuous process that enables more efficient and affordable cell proliferation.,2019,https://www.cellrev.co.uk/,CellRev.png (https://dl.airtable.com/.attachments/fd6d1ccec299d0a8d1916e7e3ec5b29d/aa7e638e/CellRev.png),Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,Europe,United Kingdom,,Newcastle upon Tyne,Leo Groenewegen and Martina Miotto
Cellular Agriculture Ltd.,U.K.-based startup developing second generation bioreactor technology for the cultured meat industry,2016,https://www.cellularagriculture.co.uk/,tob1nnrhtfgkxkdtn0th.png (https://dl.airtable.com/.attachments/760108f15df5c602b6629e115c6a340c/7078f452/tob1nnrhtfgkxkdtn0th.png),Cultivated,Meat,Bioprocess design,,,,Europe,United Kingdom,,Carmarthenshire,"Illtud Dunsford, Marianne Ellis"
CellulaREvolution,"U.K.-based startup working on the design and bioactivity testing of peptide-based molecules for biotechnological applications. They have also developed a smart coating, demonstrating the concept of continuous cell manufacture.",2019,https://cellularevolution.co.uk/,knldlgkxzq7oubwzwrwu.png (https://dl.airtable.com/.attachments/3197f5567f14753cc4798f422837c50e/41a52a94/knldlgkxzq7oubwzwrwu.png),Cultivated,Bioprocessing infrastructure and equipment,"Cell culture media,Cell line development",,,,Europe,United Kingdom,,Newcastle,"Leo Groenewegen, Martina Niotto, Che Cannon"
CellX,China-based company that focuses on cellular agriculture,2020,https://cellx.tech,CellX_Logo_b1p.png (https://dl.airtable.com/.attachments/9ed50954421eb99c5b79a778d4bfd6e8/0b2a5761/CellX_Logo_b1p.png),Cultivated,Meat,"Bioprocess design,Scaffolding and structure",,,,Asia Pacific,China,,Shanghai,"Ziliang Yang, Ran Liu"
ClearMeat,"India-based startup working on cultivated meat

",2018,http://www.clearmeat.com/,ClearMeat-logo_0.png (https://dl.airtable.com/.attachments/72b3b5545c671f37a6e787d02f8ea83e/dee79625/ClearMeat-logo_0.png),Cultivated,Meat,"End product formulation and manufacturing,Bioprocess design",Ground meat,Beef/veal,,Asia Pacific,India ,,Delhi,"Pawan K Dhar, Siddharth Manvati"
Clever Carnivore,"US-based cultivated meat company focusing on large scale, cost-effective production of high quality pork, beef, and chicken",2021,https://clevercarnivore.com,CC_Logo_HOR_CMYK.jpg (https://dl.airtable.com/.attachments/27851b22fca7aaf45efab1c3b5d7e90a/9c96e3d7/CC_Logo_HOR_CMYK.jpg),Cultivated,Meat,"Cell culture media,Bioprocess design,End product formulation and manufacturing,Ingredient optimization,Cell line development",Ground meat,"Pork,Beef/veal,Chicken",,U.S. and Canada,United States,Illinois,Chicago,Paul Burridge and Virginia Rangos
Cubiq Foods,"Spain-based startup working on cultivated fat, also developing cell-based omega-3",2018,http://www.cubiqfoods.com/,hma3ityiuibmt9cl47oq.jpg (https://dl.airtable.com/.attachments/91a41bc1f04dad9ff2603bb12718d238/190cafef/hma3ityiuibmt9cl47oq.jpg),Cultivated,Meat,Ingredient optimization,,,,Europe,Spain,,Barcelona,"Andrés Montefeltro, Raquel Revilla"
Cultimate Foods ,Germany-based company that produces cultivated fats that are designed for products that are hybrids of plant based and cultivated meats,2021,https://www.cultimatefoods.com/,1644226668509.jpeg (https://dl.airtable.com/.attachments/8ed98a4cf44132a372451ca72ac0ebef/2a0ace74/1644226668509.jpeg),Cultivated,Ingredients and inputs,End product formulation and manufacturing,Oils and fats,,,"Europe,Global",Germany,,Berlin,"Eugenia Sague, George Zheleznyi, Oskar Latyshev "
Cultured Blood,Netherlands-based startup working on manufacturing cultivated blood for the cultivated meat industry,2019,http://culturedblood.com/,ml52jpnt03e1jv4uybox.png (https://dl.airtable.com/.attachments/fd6d3d7751db8c4db5de2520eee1aae9/0a4a8949/ml52jpnt03e1jv4uybox.png),Cultivated,Ingredients and inputs,Cell culture media,Other,,,Europe,Netherlands,,Eindhoven,Robert ten Hoor
Cultured Decadence,"U.S.-based company developing novel methods to make crustacean products using cell culture, acquired by Upside Foods in 2022",2020,https://www.cultureddecadence.com/,download.jpg (https://dl.airtable.com/.attachments/dc3f545647b97a7f5ba5435b0412bd4f/5eaaa507/download.jpg),Cultivated,"Meat,Seafood","Cell culture media,End product formulation and manufacturing",,"Fish,Shellfish",,U.S. and Canada,United States,Wisconsin,Madison,"John Pattison, Ian Johnson"
DaNAGreen,South Korea-based company crosslinking proteins to produce scaffolding that help scientists culture cells in 3D,2017,http://xn--ok0by47abvffwl.kr/,DaNAGreen logo.png (https://dl.airtable.com/.attachments/6eea5b15d80560b5bd94b6b0cc454570/675055c8/DaNAGreenlogo.png),Cultivated,Bioprocessing infrastructure and equipment,"Bioprocess design,Scaffolding and structure,Cell culture media",,,,Asia Pacific,South Korea,,Seoul,"Kiwoo Kim, Jenna Ju, Jay Jee"
Defined Bioscience,"San Diego-based company that produces ingredients for cell culture with a mission to make cultured cells easy to grow and produce, using animal-free and defined ingredients.",2020,definedbioscience.com,Defined bioscience_Logo.png (https://dl.airtable.com/.attachments/99df0603ccb7f5228e092f74fc09cad0/dbb969b4/Definedbioscience_Logo.png),Cultivated,"Bioprocessing infrastructure and equipment,Ingredients and inputs,Meat,Seafood","Cell culture media,Cell line development",,,,"U.S. and Canada,Global",United States,California,San Diego,
denovoMATRIX,"denovoMATRIX is Germany-based company that designs and produces biomaterials to enable cell manufacturing in higher quality, quantity and safety.",2018,www.denovomatrix.com,denovoMATRIX_logo-600x218.png (https://dl.airtable.com/.attachments/d25c46806d393570d2b4532edb93591d/3770f3bd/denovoMATRIX_logo-600x218.png),Cultivated,"Meat,Dairy,Seafood,Bioprocessing infrastructure and equipment,Other","Bioprocess design,Scaffolding and structure,Cell line development,Ingredient optimization,Host strain development,Target molecule selection",Other,,,Global,Germany,,Dresden,Dr. Dejan Husman & Dr. Richard Wetzel
DiverseFarm,"Japan-based company that makes 100% cellular structured meat, including chicken, pig, cow & fish.",2020,www.diversefarm.com,DFC Logo Profile.png (https://dl.airtable.com/.attachments/c0ab9bc1d52e009bfed3b2a6c9788981/695ff8d0/DFCLogoProfile.png),Cultivated,Meat,Bioprocess design,Whole muscle meat,"Chicken,Beef/veal,Pork,Duck,Fish",,Asia Pacific,Japan,,Osaka,"Jiro Ono, Masa Shimamura"
E-FISHient Protein,Israel-based joint venture of Biomeat Foodtech and Volcani Center for the development of cultivated Tilapia,2021,https://www.israel21c.org/the-world-is-about-to-get-its-first-plant-based-salmon-fillet/,Unknown.jpeg (https://dl.airtable.com/.attachments/b4265113de97143176e3f5912129c201/192d1028/Unknown.jpeg),Cultivated,Seafood,End product formulation and manufacturing,Whole muscle meat,Fish,,Africa/Middle East,Israel,,," Dr. Kobi Biran, Jil Gamon"
"Eat Just, Inc. ","U.S.-based company with a plant-based egg brand called JUST Egg and a cultivated meat subsidiary called GOOD Meat, with plant-based products including liquid egg, folded egg and sous vide egg bites and cultivated meat products including chicken.  ",2011,"https://www.ju.st 
https://goodmeat.co",eib38f3x2wa0tlig29wf.png (https://dl.airtable.com/.attachments/eee91bcb73ab2dd3999f1f598b95d311/9f65128f/eib38f3x2wa0tlig29wf.png),"Plant-based,Cultivated","Meat,Eggs,Dairy",End product formulation and manufacturing,"Eggs,Whole muscle meat",Chicken,Mung Bean,U.S. and Canada,United States,California,San Francisco,"Josh Tetrick, Josh Balk"
Edge Foods,U.S.-based company that produces cultivated meat products using innovative biotechnologies. ,2022,www.edgefoods.co,EA05C449-02F5-4980-A02A-0573CC5CAD15.png (https://dl.airtable.com/.attachments/66b32e595128715a16c555f702767a16/f07917ca/EA05C449-02F5-4980-A02A-0573CC5CAD15.png),Cultivated,"Meat,Bioprocessing infrastructure and equipment","Bioprocess design,End product formulation and manufacturing","Ground meat,Other meat,Whole muscle meat","Beef/veal,Pork,Chicken",,U.S. and Canada,United States,New York,New York,Manuel Tamargo and Bianca Drevensek
Fermify,Austria-based deep-tech company developing alt dairy platform for casein proteins,2021,https://www.fermify.org,fermify.jpeg (https://dl.airtable.com/.attachments/9ad5284d68a912dff8ad5bfde9f7b9ec/7b15626f/fermify.jpeg),Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,Europe,Austria,,Vienna,Eva Sommer
Finless Foods,U.S.-based company working on plant-based fish and cultivated blue fin tuna,2016,https://finlessfoods.com/,Capture.JPG (https://dl.airtable.com/.attachments/a9daa35f9bcf09b2e851782ec4bfb83c/c7c04c39/Capture.JPG),"Cultivated,Plant-based","Meat,Seafood","Cell culture media,End product formulation and manufacturing",Whole muscle meat,Fish,,U.S. and Canada,United States,California,San Francisco,"Mike Selden, Brian Wyrwas"
Fisheroo,"Singapore-based company using cellular agriculture technology to create surimi, a minced fish paste commonly found in East Asian cuisine",2021,https://www.fisheroo.co,fisheroo.png (https://dl.airtable.com/.attachments/340e91d7119bbadb722d7b0d55ba6f1e/00d944b9/fisheroo.png),Cultivated,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Fish,,Asia Pacific,Singapore,,,"Chua Yu Xiang Aaron, Jian Bin Tan, Nicholas Chia"
Fork & Goode,U.S.-based startup working on cultivated meat,2018,https://www.forkandgoode.com/,Capture.JPG (https://dl.airtable.com/.attachments/d873703bd9d72303549888ceef232e59/2f9b8cb2/Capture.JPG),Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,,,U.S. and Canada,United States,New York,New York,"Niya Gupta, Gabor Forgacs"
Forsea Foods,"Israel-based cultivated seafood company co-founded with the Kitchen Hub Incubator licensing a platform technology for the cultivation of seafood, beginning with eel",2021,https://forseafoods.com/,forsea_53412875-4de6-11ec-a844-670e85f6d051.jpeg (https://dl.airtable.com/.attachments/d44c42c999d335d6a11d0f2f68f0d784/e112b20a/forsea_53412875-4de6-11ec-a844-670e85f6d051.jpeg),Cultivated,Seafood,"End product formulation and manufacturing,Cell line development,Scaffolding and structure,Cell culture media",,Fish,,Africa/Middle East,Israel,,Ashdod,
Future Fields,Canada-based startup working on serum free cell culture media for cultivated meat and milk,2017,https://www.futurefields.io/,5e2f414f78b2070e1cbe975a_Logo_A_SVG.svg (https://dl.airtable.com/.attachments/df1b7970153ab8812b13a057e9270e1f/643f4f72/5e2f414f78b2070e1cbe975a_Logo_A_SVG.svg),Cultivated,Ingredients and inputs,Cell culture media,"Whole muscle meat,Milk",,,U.S. and Canada,Canada,AB,Edmonton,"Matthew Anderson-Baron, Lejjy Gafour, Jalene Anderson-Baron"
Future Meat Technologies,"Israel-based startup working on cultivated meat products, such as chicken kebab, using muscle and fat production and media recycling",2017,https://www.future-meat.com/,logo.svg (https://dl.airtable.com/.attachments/94f6dc4f6f651e4bc4eb97cfeb17fa0b/7ba6f911/logo.svg),Cultivated,Meat,"Cell line development,Scaffolding and structure",Whole muscle meat,,,Africa/Middle East,Israel,,Jerusalem,Yaakov Nahmias
Gaia Foods,"Singapore-based company producing cultivated meat products, emphasizing quality cells grown without harmful chemicals, microbial contamination, no hormones, and no antibiotics",2019,http://gaiafoods.xyz/,Gaia-foods-logo-e1621895345742.png (https://dl.airtable.com/.attachments/83981ccabb6374c95ccf0d455e891bea/a56a4e64/Gaia-foods-logo-e1621895345742.png),Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,Beef/veal,,Asia Pacific,Singapore,,,Vinayaka and Hung Nguyen
Gelatex Technologies,Estonia-based company that produces edible plant-based scaffolds for cell-cultured meat,2016,www.gelatex.com,Gelatex logo transparent.png (https://dl.airtable.com/.attachments/f057a69e95ff99dbb351204c938231ed/4e07518b/Gelatexlogotransparent.png),Cultivated,"Meat,Ingredients and inputs,Contract manufacturing/processing",Scaffolding and structure,,,,"Global,Europe",United Kingdom,,"Tallinn, Estonia","Märt-Erik Martens, Mari-Ann Meigo Fonseca"
Good Dog Food,"UK-based start-up created cultivated pet food, for healthy pets and a healthy planet",2022,www.GoodDogFood.com,GDF - Logo - Primary.png (https://dl.airtable.com/.attachments/9a7c5369a4d36d3635b510fee13bddfc/48bfd803/GDF-Logo-Primary.png),Cultivated,Other,End product formulation and manufacturing,,,,Europe,United Kingdom,,London,
GOURMEY - Suprême SAS,"France-based company producing  restaurant-grade meats directly from animal cells, starting with cultivated foie gras",2019,https://gourmey.com/welcome,Gourmey_Logo_Grey_Yellow-01.png (https://dl.airtable.com/.attachments/1d1d5e33c61502822688e42fc992d508/92b61eef/Gourmey_Logo_Grey_Yellow-01.png),Cultivated,Meat,End product formulation and manufacturing,Other meat,Duck,,Europe,France,,Paris,"Nicolas Morin-Forest, Antoine Davydoff, Victor Sayous"
Heuros,Australia-based company working on producing media and bioreactors to supply cultivated meat companies and interested research institutions,2017,https://www.heuros.com/,download (5).png (https://dl.airtable.com/.attachments/55bc4f4adcdaa508c1d13d91ddd415da/4e4328df/download5.png),Cultivated,Meat,"Cell culture media,Bioprocess design",Ground meat,Beef/veal,,Asia Pacific,Australia,Queensland,Brisbane,"Nick Beaumont, Jordan Sosnowski"
Higher Steaks,U.K.-based startup working on cultivated meat,2018,https://www.highersteaks.com/,higher_steaks_periodic.jpg (https://dl.airtable.com/.attachments/cccd9c91dec37602fbe67fe33792c50b/cf136a10/higher_steaks_periodic.jpg),Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,Europe,United Kingdom,,London,"Benjamina Bollag, Stephanie Wallis"
Hoxton Farms,U.K.-based startup makes real animal fat - without the animals - as a B2B ingredient for the meat alternatives industry.,2020,https://hoxtonfarms.com/,hoxton-farms-logo-square-small (3).jpeg (https://dl.airtable.com/.attachments/45d115cbb3da6cda568f17c7f99adaa6/a01658bb/hoxton-farms-logo-square-small3.jpeg),Cultivated,"Ingredients and inputs,Meat","Bioprocess design,Scaffolding and structure,Ingredient optimization,Cell line development,Cell culture media,End product formulation and manufacturing",Other,Other,Other,"Europe,Global",United Kingdom,,London,Max Jamilly; Ed Steele
iLabs,U.S.-based company building rapid testing platform for alternative protein ,2021,https://twitter.com/InSightLabz,,"Cultivated,Traditional fermentation,Biomass fermentation,Precision fermentation","Bioprocessing infrastructure and equipment,Other",Bioprocess design,,,,U.S. and Canada,United States,California,Santa Clara,Sesana Ajina
ImpacFat,"Developing fish cell-based fat that is tasty, nutritional and sustainable",2022,https://www.impacfat.com/,impacfat logo.jpg (https://dl.airtable.com/.attachments/ef77f949b765ed48d5a9a9f6d0ff82a6/fbce3c76/impacfatlogo.jpg),Cultivated,"Meat,Seafood,Ingredients and inputs","Ingredient optimization,Cell line development,End product formulation and manufacturing","Other meat,Oils and fats,Ingredients",Fish,,Asia Pacific,Singapore,,,"Shigeki Sugii, Mandy Hon, Lamony Chew, Cheryl Wong, Angela Lwin, Wee Kiat Ong"
